epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1098.68,0.70459,0.73301,0.99269,0.78465,0.84424,0.86616,0.64081,1.05034,0.89752,1.20373,0.000224346,0.000224346,0.000224346
72,1114.17,0.6962,0.69777,0.9909,0.86015,0.78874,0.89094,0.67019,1.00448,0.87734,1.22601,0.000221594,0.000221594,0.000221594
73,1129.38,0.69636,0.73073,0.99516,0.89633,0.81122,0.88908,0.66356,1.00494,0.91357,1.19049,0.000218842,0.000218842,0.000218842
74,1144.49,0.72266,0.70099,1.00392,0.89211,0.8263,0.88891,0.65784,1.03657,0.86347,1.21158,0.000216089,0.000216089,0.000216089
75,1159.49,0.67013,0.68295,0.9898,0.88058,0.83066,0.8646,0.6513,1.03421,0.88007,1.2335,0.000213337,0.000213337,0.000213337
76,1174.64,0.71127,0.71386,0.98815,0.85926,0.82835,0.87694,0.64467,1.06398,0.87716,1.25328,0.000210585,0.000210585,0.000210585
77,1189.74,0.6831,0.68512,0.98432,0.88684,0.8076,0.87371,0.65056,1.02073,0.88279,1.20812,0.000207833,0.000207833,0.000207833
78,1204.81,0.66893,0.65294,0.98314,0.84665,0.81015,0.87921,0.65736,1.02857,0.85384,1.22741,0.000205081,0.000205081,0.000205081
79,1219.98,0.71245,0.67118,0.99557,0.87298,0.8388,0.89254,0.65652,1.03393,0.88289,1.23726,0.000202328,0.000202328,0.000202328
80,1234.99,0.64734,0.65324,0.97525,0.85348,0.79575,0.87083,0.65073,1.02349,0.87204,1.22975,0.000199576,0.000199576,0.000199576
81,1250.13,0.69233,0.67435,0.98211,0.88873,0.83946,0.89687,0.66826,1.02315,0.81417,1.22773,0.000196824,0.000196824,0.000196824
82,1266.16,0.65215,0.67218,0.98373,0.86986,0.82723,0.88628,0.65337,1.03355,0.8339,1.22445,0.000194072,0.000194072,0.000194072
83,1281.99,0.67114,0.64957,0.98039,0.85731,0.8289,0.87416,0.64689,1.03984,0.88959,1.22943,0.00019132,0.00019132,0.00019132
84,1297.8,0.62666,0.6405,0.97596,0.84986,0.82449,0.86973,0.64197,1.04658,0.86558,1.23167,0.000188567,0.000188567,0.000188567
85,1313.33,0.63917,0.63474,0.97045,0.8689,0.8508,0.9004,0.64773,1.09394,0.8056,1.29223,0.000185815,0.000185815,0.000185815
86,1328.53,0.65223,0.65484,0.96244,0.88322,0.85361,0.90425,0.66566,1.01839,0.79158,1.25156,0.000183063,0.000183063,0.000183063
87,1343.96,0.66247,0.62782,0.97432,0.83728,0.86614,0.90532,0.66022,1.0595,0.82067,1.25144,0.000180311,0.000180311,0.000180311
88,1359.19,0.60592,0.58805,0.95166,0.79413,0.89042,0.87422,0.65162,1.03761,0.83831,1.23297,0.000177559,0.000177559,0.000177559
89,1374.62,0.63662,0.62023,0.96806,0.84496,0.86597,0.89903,0.67106,1.03242,0.81645,1.24879,0.000174806,0.000174806,0.000174806
90,1389.48,0.63803,0.65816,0.97028,0.88296,0.83469,0.89599,0.66472,1.03257,0.8314,1.23347,0.000172054,0.000172054,0.000172054
91,1404.9,0.64263,0.63019,0.97372,0.82532,0.88204,0.89519,0.65372,1.02318,0.853,1.22554,0.000169302,0.000169302,0.000169302
92,1420.14,0.6516,0.64786,0.9735,0.79292,0.90544,0.88401,0.64706,1.0451,0.85773,1.22146,0.00016655,0.00016655,0.00016655
93,1435.77,0.60664,0.62348,0.95784,0.82169,0.9052,0.89125,0.65002,1.04996,0.81092,1.22526,0.000163798,0.000163798,0.000163798
94,1450.92,0.60321,0.5783,0.95209,0.85635,0.87755,0.90296,0.65677,1.02864,0.78717,1.2046,0.000161045,0.000161045,0.000161045
95,1466.65,0.61014,0.59171,0.96295,0.8556,0.88815,0.90573,0.66485,1.03569,0.80227,1.22312,0.000158293,0.000158293,0.000158293
96,1482.12,0.62636,0.58682,0.95567,0.87695,0.87357,0.90015,0.6568,1.05986,0.82527,1.26487,0.000155541,0.000155541,0.000155541
97,1497.2,0.60058,0.58708,0.95507,0.86525,0.88293,0.89674,0.6495,1.07483,0.81672,1.262,0.000152789,0.000152789,0.000152789
98,1512.78,0.61125,0.6061,0.96028,0.8593,0.83672,0.89099,0.65275,1.0709,0.82498,1.25525,0.000150037,0.000150037,0.000150037
99,1528.38,0.59461,0.6026,0.96842,0.84188,0.82362,0.88408,0.65538,1.05507,0.85152,1.24826,0.000147284,0.000147284,0.000147284
100,1543.46,0.61691,0.61918,0.9691,0.84401,0.86739,0.90443,0.665,1.04031,0.80821,1.24503,0.000144532,0.000144532,0.000144532
101,1558.67,0.61022,0.57807,0.95611,0.803,0.90173,0.90394,0.66452,1.05606,0.82648,1.24985,0.00014178,0.00014178,0.00014178
102,1574,0.60392,0.59677,0.96607,0.88345,0.83943,0.89763,0.65816,1.04524,0.84705,1.24535,0.000139028,0.000139028,0.000139028
103,1589.13,0.59718,0.56947,0.9591,0.89311,0.84115,0.90044,0.65394,1.05361,0.81521,1.26918,0.000136276,0.000136276,0.000136276
