epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1457.22,1.0385,0.80431,1.22697,0.77676,0.81146,0.85734,0.64551,0.92093,0.77582,1.07851,0.000287949,0.000287949,0.000287949
30,1507.03,1.03097,0.80541,1.21745,0.81292,0.76922,0.84747,0.62731,0.9117,0.8084,1.09504,0.000285018,0.000285018,0.000285018
31,1556.96,1.06259,0.81056,1.23581,0.8526,0.74386,0.87236,0.65998,0.88379,0.70593,1.08639,0.000282088,0.000282088,0.000282088
32,1606.67,1.03507,0.77695,1.21276,0.8586,0.75535,0.83017,0.63117,0.87208,0.83864,1.06096,0.000279158,0.000279158,0.000279158
33,1656.59,1.02591,0.80148,1.21474,0.8422,0.77288,0.85202,0.65318,0.89335,0.73824,1.08615,0.000276227,0.000276227,0.000276227
34,1706.72,0.99491,0.7435,1.18936,0.8439,0.83387,0.87332,0.66427,0.85362,0.71033,1.0762,0.000273297,0.000273297,0.000273297
35,1756.71,0.98024,0.74139,1.19455,0.86376,0.79426,0.87052,0.64912,0.91328,0.74912,1.13267,0.000270366,0.000270366,0.000270366
36,1806.55,0.99429,0.73455,1.20615,0.81059,0.78715,0.86377,0.65236,0.90255,0.771,1.09843,0.000267436,0.000267436,0.000267436
37,1856.33,1.01517,0.75613,1.1955,0.87392,0.78541,0.87379,0.66721,0.89613,0.7192,1.05415,0.000264506,0.000264506,0.000264506
38,1905.94,0.98039,0.71024,1.17813,0.84777,0.8139,0.8849,0.66514,0.87581,0.69268,1.06915,0.000261575,0.000261575,0.000261575
39,1955.97,0.9692,0.72042,1.17329,0.83274,0.79297,0.87328,0.66472,0.87206,0.72553,1.07583,0.000258645,0.000258645,0.000258645
40,2006.16,0.97173,0.71027,1.17847,0.75075,0.80884,0.82155,0.62918,0.88839,0.86256,1.1027,0.000255714,0.000255714,0.000255714
41,2055.71,0.97905,0.71253,1.18074,0.8492,0.81636,0.86463,0.64629,0.88901,0.71718,1.06913,0.000252784,0.000252784,0.000252784
